"Date","texted","retweets","favorites"
2010-09-03,"Loved  from the start -stupid margin account now there're giving me the chance to buy it's no wonder people lose $ in the mrkt -gokepgo",0,0
2010-09-05," ETF on a tear, surges on 8/26 breaks MM 4/8ths= 28.125, target 31.25.    ",0,0
2010-09-10,"Friday＊s ETF To Watch: Corn ETF (CORN)  ",0,0
2010-09-17,"FT.com / Commodities - Storm clouds loom over US corn harvest    via ",1,0
2010-09-20,"Commented on: ""Corn ETF Extends Its Mind-Boggling Rally""  ",0,0
2010-09-20,"Corn ETF Continues Mind-Boggling Rally     ",0,0
2010-09-22,"Can  go higher? Darin Newsom tackles this question in SFO Weekly:  ",0,0
2010-09-22,"Can  go higher? Darin Newsom tackles this question in SFO Weekly:   ",0,0
2010-09-23,"Commented on: ""Winnowing Your Agricultural ETF Options""        ",0,0
2010-09-24,"There is an ETF for  and its rocking    ",0,0
2010-09-26," Continuing to watch  from afar. Involved in other names right now. Whole Ag space is hot.    ",0,0
2010-10-01,"Corn   & Cotton  rolling over also watching ",0,0
2010-10-01,"Corn  & Cotton  rolling over also watching  this downside in morning, gaining steam into afternoon",0,0
2010-10-02,"Cream of Corn - The Reformed Broker    via ",0,0
2010-10-07," Managing risk on an up day for Ags: Selling our long position in the index here and staying with our long ",0,0
2010-10-07,"Commented on: ""Commodity Trading Range Charts""            ",0,0
2010-10-07,"Trade: SELL -40  . stop moved at 30.82 ",0,0
2010-10-08,"  Add ,    All related to ",0,0
2010-10-08," up 15% today = deflation",0,0
2010-10-08,"Corn ETF  soaring over 8% pushing grains ETF  and  higher",0,0
2010-10-08,"Corn ETF Surges: Behind A Blockbuster Friday For Commodity ETFs  ",0,1
2010-10-08,"Hat Tip to anyone who owned  &  today",0,0
2010-10-08,"Inside Five Surging Commodity ETFs      ",0,0
2010-10-08,"RT : Closest Thing to a Sure Thing            ",0,0
2010-10-08,"Trade: SELL -40  . stop moved to 31.22 ",0,0
2010-10-08,"Trade: SELL -40  . stop moved to 31.65 ",0,0
2010-10-09,"Corn ETF Surges: Behind A Blockbuster Friday For Commodity ETFs  ",0,0
2010-10-09,"wow, kind of got out early on  & , 6.25% and 14.61% yesterday.",0,0
2010-10-10," POPCORN :-)  ",0,0
2010-10-10,"Terrified Corn Cobs   via . The  etf will fly higher again tomorrow,  already thru the roof tonight.",0,0
2010-10-10,"USDA World Crop Price Est. Rise, Corn Future at 2 Yr High (USDA Price Table, USDX/CZ Chart) -    ",0,0
2010-10-11,"The curious incident of the 300m bushels of corn - FT Alphaville    via ",0,0
2010-10-11,"Trade: SELL -40  . stop moved to 33.57 ",0,0
2010-10-11,"Trade: SELL -40  . stop moved to 34.84 ",0,0
2010-10-11,"with corn (expanded) limit up this morning, piece about crop report questions is intriguing  ",0,1
2010-10-12," ETF MM 0 8/ths= 25.00, MM 4/8ths= 31.25, MM 8/8ths= 37.50 ",1,0
2010-10-12," watching",0,0
2010-10-12,"Ags Go Wild After Crop Report            ",0,0
2010-10-12,"General capital markets snapshot for 10/11/2010 here: .  , , , ",0,0
2010-10-12,"Mild Rebound in Dollar Has Commodities Under Pressure          ",0,0
2010-10-12,"My Article on Food Prices Surging!! Ags Go Wild After Crop Report - Hard Assets Investor       ",0,0
2010-10-12,"Teucrium Corn Fund ETF,  up 50% since June 2010. MM 0/8ths= 25.00, MM 4/8ths= 31.25, MM 8/8ths= 37.50, 10/11 hi= 3759. ",0,0
2010-10-12,"Trade: SELL -40  . stop moved to 35.28 ",0,0
2010-10-12,"Understanding The Corn ETF＊s Huge Premium    ",0,0
2010-10-13,"Crop Progress: Healthy Crops and Healthy Prices     ",0,0
2010-10-13,"EPA to allow ethanol to make up 15% of fuel blends, up from current 10% for vehicles -          ",0,0
2010-10-13,"Ethanol and corn - Lex - FT.com     via ",0,0
2010-10-13,"Rising Corn Prices: A Case for Favorable Rice Investment?        ",0,0
2010-10-14,"A sample of inside days today; , , , , , , , , , .",0,0
2010-10-15,"Fickle Friday: Google Up, GE and Dollar Down    ",0,0
2010-10-16,"Commented on: ""Fickle Friday: Google Up, GE and Dollar Down""    ",0,0
2010-10-18,"Corn Price Momentum May Keep Going          ",0,0
2010-10-18,"surprised/bummed that the Corn ETF isn't more liquid ",0,0
2010-10-19,"Does Rising Dollar Signal Beginning of the End for Commodity Bull Run?        ",0,0
2010-10-20,"    should follow ",0,0
2010-10-20," can't post the chart but worth keeping eye on - poised to break higher after today solid move",0,0
2010-10-20,"Apparently  is feared or unknown to short sellers only 3,300 shares short ",0,0
2010-10-20,"Today in Commodities: Market Tempest          ",0,0
2010-10-21,"  Strong action yesterday on solid volume - poised to break higher. Worth eyeing",1,0
2010-10-21,"TotalNetIncomeNegative removed  from watch list (12.046% profit) ",0,0
2010-10-24,"What's Driving the Rural Economy? Agriculture and Banking      ",0,0
2010-10-25,"  Cont's to consolidate / base here - keep on watch list",0,0
2010-10-26,"Corn futures running   about to break out (very thin)",0,0
2010-10-27,"  Cont's to put in a nice horizontal / basing pattern - next buy area when clears .60 on volume",0,1
2010-10-27," kobe  and aint helpn  thi$ da End ",0,0
2010-10-27,"Today in Commodities: Dollar Up           ",0,0
2010-10-28,"A Look at Hedge Fund Longs and Shorts: Reducing Risk Assets          ",0,0
2010-10-28,"Surging Corn Prices: Good News for Commodities Producers        ",0,0
2010-10-28,"Today in Commodities: Day to Day, Hour to Hour           ",0,0
2010-10-29,"5 Dangers to Global Crops That Could Dramatically Reduce the World Food Supply      ",0,0
2010-10-29,"Today in Commodities: Full Docket           ",0,0
2010-10-31,"  Poised to break higher - keep on watch list. Next buy when it clears .60 on heavy volume",0,0
2010-10-31,"Sugar Kisses 30-Year High, Global Corn Production Forecasts Cut        ",0,0
2010-10-31,"Sugar Kisses 30-Year High, Global Corn Production Forecasts Cut   .PK     ",0,0
2010-11-01,"Decoding the Surge in Corn Prices and ETF Investment Opportunities       ",0,0
2010-11-01,"Harvest Wraps Up While Grain Prices Rally in October     ",0,0
2010-11-03,"Dissecting ADM's Failure to Cash in on Commodity Surge          ",0,0
2010-11-05,"4 ETFs to get ethanol exposure: Teucrium , PowerShares Ag , Mkt Vectors Ag  and Elements Biofuels . ",0,1
2010-11-05,"Commented on: ""Commodities Are Killing It Right Now""            ",0,0
2010-11-05,"Commodities Are Killing It Right Now             ",0,0
2010-11-05,"Four ETFs to Play Growing Ethanol Adoption     ",0,0
