date,settle
09/03/10,464.5
09/07/10,466.25
09/08/10,462.5
09/09/10,470.75
09/10/10,478.25
09/13/10,483.5
09/14/10,495
09/15/10,495.25
09/16/10,496
09/17/10,513.25
09/20/10,508.25
09/21/10,505.25
09/22/10,505
09/23/10,499.25
09/24/10,521.75
09/27/10,512.75
09/28/10,500
09/29/10,505
09/30/10,495.75
10/01/10,465.75
10/04/10,471.5
10/05/10,491
10/06/10,488.5
10/07/10,498.25
10/08/10,528.25
10/11/10,555.75
10/12/10,579
10/13/10,569.25
10/14/10,567.25
10/15/10,563
10/18/10,557.25
10/19/10,546
10/20/10,573.5
10/21/10,564.25
10/22/10,560
10/25/10,568.75
10/26/10,571
10/27/10,577.25
10/28/10,579
10/29/10,582
11/01/10,577.25
11/02/10,589.25
11/03/10,594.5
11/04/10,603.75
11/05/10,601.75
11/08/10,599.25
11/09/10,590.25
11/10/10,581
11/11/10,578
11/12/10,548
11/15/10,569
11/16/10,540
11/17/10,539.25
11/18/10,555.75
11/19/10,534.75
11/22/10,529.25
11/23/10,543
11/24/10,553.75
11/26/10,553
11/29/10,553.25
11/30/10,544
12/01/10,566.25
12/02/10,555.5
12/03/10,573.5
12/06/10,568
12/07/10,561.75
12/08/10,574.5
12/09/10,574.25
12/10/10,574.25
12/13/10,588.5
12/14/10,587.25
12/15/10,584.25
12/16/10,587.5
12/17/10,596.5
12/20/10,599.5
12/21/10,602.25
12/22/10,609
12/23/10,614
12/27/10,615.25
12/28/10,623.25
12/29/10,624
12/30/10,616
12/31/10,629
01/03/11,620.5
01/04/11,608.5
01/05/11,619.25
01/06/11,602
01/07/11,595
01/10/11,607
01/11/11,607
01/12/11,631
01/13/11,642.5
01/14/11,648.75
01/18/11,659.5
01/19/11,641.25
01/20/11,654
01/21/11,657.25
01/24/11,655.25
01/25/11,644
01/26/11,657.75
01/27/11,650.75
01/28/11,644
01/31/11,659.5
02/01/11,666
02/02/11,679.75
02/03/11,673.25
02/04/11,689.25
02/07/11,685.75
02/08/11,684.75
02/09/11,708.75
02/10/11,709.5
02/11/11,717.25
02/14/11,706.5
02/15/11,701
02/16/11,701
02/17/11,723
02/18/11,720.25
02/22/11,690.25
02/23/11,702.25
02/24/11,696.5
02/25/11,722
02/28/11,731
03/01/11,735.5
03/02/11,721.5
03/03/11,736.75
03/04/11,728
03/07/11,717.5
03/08/11,705.5
03/09/11,701
03/10/11,682.75
03/11/11,664.25
03/14/11,666
03/15/11,636
03/16/11,616.5
03/17/11,646.5
03/18/11,683.5
03/21/11,686.5
03/22/11,686.75
03/23/11,681
03/24/11,702.5
03/25/11,689.5
03/28/11,671
03/29/11,671.75
03/30/11,663.25
03/31/11,693.25
04/01/11,736
04/04/11,767.5
04/05/11,773.75
04/06/11,770.5
04/07/11,766.25
04/08/11,774
04/11/11,781.25
04/12/11,757.5
04/13/11,761
04/14/11,761
04/15/11,749.5
04/18/11,759.5
04/19/11,757
04/20/11,740.5
04/21/11,744.5
04/25/11,768.5
04/26/11,772.75
04/27/11,759.25
04/28/11,729.25
04/29/11,756.5
05/02/11,734.5
05/03/11,723.75
05/04/11,729.5
05/05/11,708.75
05/06/11,686.25
05/09/11,707.5
05/10/11,707.25
05/11/11,677.25
05/12/11,680.5
05/13/11,682
05/16/11,697.5
05/17/11,720.25
05/18/11,749.75
05/19/11,748.25
05/20/11,759.5
05/23/11,754
05/24/11,733.25
05/25/11,742.25
05/26/11,745.5
05/27/11,758.5
05/31/11,747.5
06/01/11,758.5
06/02/11,741.5
06/03/11,731
06/06/11,711.5
06/07/11,717
06/08/11,736
06/09/11,754
06/10/11,756
06/13/11,751.75
06/14/11,729
06/15/11,704.75
06/16/11,684.5
06/17/11,687
06/20/11,687.5
06/21/11,702.25
06/22/11,672.25
06/23/11,668
06/24/11,657
06/27/11,644.25
06/28/11,670
06/29/11,678
06/30/11,648
07/01/11,606.75
07/05/11,625.5
07/06/11,618.75
07/07/11,625
07/08/11,642.25
07/11/11,643
07/12/11,664
07/13/11,686.75
07/14/11,690.75
07/15/11,701.25
07/18/11,696.25
07/19/11,698
07/20/11,688
07/21/11,679.25
07/22/11,690
07/25/11,678.75
07/26/11,689.75
07/27/11,691.5
07/28/11,682.25
07/29/11,665.5
08/01/11,681.25
08/02/11,715.75
08/03/11,713
08/04/11,701.5
08/05/11,703
08/08/11,686
08/09/11,688.5
08/10/11,688.5
08/11/11,714
08/12/11,714.5
08/15/11,720
08/16/11,727.5
08/17/11,725.5
08/18/11,713
08/19/11,725.25
08/22/11,734.5
08/23/11,743.5
08/24/11,743
08/25/11,743.5
08/26/11,767
08/29/11,770
08/30/11,775.25
08/31/11,767.5
09/01/11,738.5
09/02/11,760
09/06/11,755.75
09/07/11,748
09/08/11,734
09/09/11,736.5
09/12/11,745.5
09/13/11,723
09/14/11,724.25
09/15/11,701
09/16/11,692
09/19/11,692.25
09/20/11,690.25
09/21/11,685.75
09/22/11,650
09/23/11,638.5
09/26/11,648
09/27/11,652.25
09/28/11,630.75
09/29/11,632.5
09/30/11,592.5
10/03/11,592.5
10/04/11,587.75
10/05/11,605.5
10/06/11,605.5
10/07/11,600
10/10/11,605
10/11/11,645
10/12/11,640.75
10/13/11,638.25
10/14/11,640
10/17/11,640.5
10/18/11,644
10/19/11,638.5
10/20/11,649.5
10/21/11,649.25
10/24/11,651
10/25/11,650.75
10/26/11,637.25
10/27/11,651.5
10/28/11,655
10/31/11,647
11/01/11,654.25
11/02/11,656
11/03/11,663.75
11/04/11,666.25
11/07/11,665.25
11/08/11,671
11/09/11,665
11/10/11,654.75
11/11/11,647.75
11/14/11,643.25
11/15/11,654.75
11/16/11,652
11/17/11,623.25
11/18/11,618
11/21/11,605
11/22/11,605.75
11/23/11,595.5
11/25/11,590
11/28/11,598.5
11/29/11,605.5
11/30/11,608
12/01/11,601.5
12/02/11,595.25
12/05/11,591
12/06/11,596.5
12/07/11,592.75
12/08/11,600.25
12/09/11,594.25
12/12/11,594
12/13/11,594.5
12/14/11,580.75
12/15/11,579
12/16/11,583
12/19/11,601
12/20/11,607
12/21/11,616.5
12/22/11,617.5
12/23/11,619.5
12/27/11,633.25
12/28/11,642.5
12/29/11,638
12/30/11,646.5
01/03/12,658.5
01/04/12,658.5
01/05/12,643.5
01/06/12,643.5
01/09/12,652
01/10/12,652
01/11/12,651.5
01/12/12,611.5
01/13/12,599.5
01/17/12,604
01/18/12,593.5
01/19/12,606
01/20/12,611.5
01/23/12,620
01/24/12,630.25
01/25/12,634.5
01/26/12,634.5
01/27/12,641.75
01/30/12,631.75
01/31/12,639
02/01/12,642
02/02/12,649.5
02/03/12,650.75
02/06/12,651.25
02/07/12,648.5
02/08/12,648
02/09/12,641.5
02/10/12,635.5
02/13/12,643
02/14/12,638
02/15/12,631
02/16/12,639.75
02/17/12,645.25
02/21/12,633.5
02/22/12,641.25
02/23/12,642.5
02/24/12,644
02/27/12,648.5
02/28/12,657.25
02/29/12,658
03/01/12,654
03/02/12,655
03/05/12,660.75
03/06/12,654
03/07/12,638.75
03/08/12,635.5
03/09/12,645
03/12/12,659.5
03/13/12,662
03/14/12,658.75
03/15/12,669
03/16/12,673
03/19/12,663.5
03/20/12,647.5
03/21/12,642
03/22/12,644.5
03/23/12,646.5
03/26/12,637.75
03/27/12,630.75
03/28/12,620.25
03/29/12,604
03/30/12,644
04/02/12,655
04/03/12,653
04/04/12,650.75
04/05/12,652.25
04/09/12,641.25
04/10/12,625.75
04/11/12,627
04/12/12,629
04/13/12,620.75
04/16/12,613.25
04/17/12,607.25
04/18/12,594
04/19/12,612
04/20/12,603
04/23/12,612.5
04/24/12,608
04/25/12,601
04/26/12,607.5
04/27/12,625.5
04/30/12,634.25
05/01/12,629
05/02/12,611.5
05/03/12,614.5
05/04/12,620.25
05/07/12,620
05/08/12,623
05/09/12,607.25
05/10/12,587.5
05/11/12,581
05/14/12,583
05/15/12,597.25
05/16/12,620
05/17/12,625
05/18/12,635.5
05/21/12,633
05/22/12,597
05/23/12,603.5
