"","tweets_corn$date","tweets_corn$settle","pre_cur_linear$lower.1","pre_cur_linear$lower.2","pre_five_linear$lower.1","pre_five_linear$lower.2","pre_ten_linear$lower.1","pre_ten_linear$lower.2","pre_cur_nlinear$lower.1","pre_cur_nlinear$lower.2","lower.1","lower.2","pre_ten_nlinear$lower.1","pre_ten_nlinear$lower.2"
"1",11,620.5,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"2",23,619.25,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"3",29,602,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"4",36,595,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"5",61,607,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"6",67,631,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"7",74,642.5,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"8",81,648.75,300.123662944955,202.239436195212,299.504164726257,201.405108423505,297.562074668461,199.310957736495,5.80115188416307,5.61500610481527,5.79948211781616,5.61285362700726,5.79455724937937,5.60758660123686
"9",109,641.25,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"10",115,654,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"11",122,657.25,333.12964214348,235.212975496685,332.323463135051,234.192144394804,330.064626611556,231.782120461384,5.81954046315172,5.63286607289839,5.81838982522086,5.63123102267378,5.81233343877176,5.62484819365134
"12",142,655.25,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"13",149,644,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"14",156,657.75,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"15",163,650.75,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"16",169,644,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"17",188,659.5,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"18",195,666,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"19",201,679.75,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"20",208,673.25,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"21",214,689.25,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"22",232,685.75,410.446114458707,312.384604537613,408.902689768688,310.626597858255,406.706739420947,308.278980700126,6.13905706439803,5.95124103473981,6.13404993896448,5.94575846047873,6.12758811750397,5.93896337117665
"23",239,684.75,333.12964214348,235.212975496685,332.323463135051,234.192144394804,330.064626611556,231.782120461384,5.81954046315172,5.63286607289839,5.81838982522086,5.63123102267378,5.81233343877176,5.62484819365134
"24",246,708.75,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"25",253,709.5,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"26",277,706.5,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"27",284,701,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"28",291,701,347.916562653694,250.109292221673,346.453188680955,248.431842404619,345.098573636398,246.92586191353,5.92808017569513,5.74209826118788,5.92442648018582,5.7379646758739,5.92072462491103,5.7339262355837
"29",297,723,347.916562653694,250.109292221673,346.453188680955,248.431842404619,345.098573636398,246.92586191353,5.92808017569513,5.74209826118788,5.92442648018582,5.7379646758739,5.92072462491103,5.7339262355837
"30",304,720.25,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"31",328,690.25,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"32",335,702.25,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"33",342,696.5,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
"34",349,722,347.916562653694,250.109292221673,346.453188680955,248.431842404619,345.098573636398,246.92586191353,5.92808017569513,5.74209826118788,5.92442648018582,5.7379646758739,5.92072462491103,5.7339262355837
"35",369,731,270.053360732601,172.101195561638,269.324994696742,171.157497690032,267.907133103045,169.588559071273,5.7394174972536,5.55227171697914,5.73806849382889,5.55043699319889,5.73679574771558,5.54882325417098
"36",378,735.5,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"37",385,721.5,318.08498127359,220.336281939704,316.511568174306,218.547669980833,315.678902758345,217.56341505921,5.84118072244118,5.65550640932506,5.83764985544985,5.65149160145894,5.83551283339491,5.64901619121889
"38",392,736.75,381.121787764437,283.3876673177,379.471156732641,281.522832508631,377.797763806022,279.697870810651,5.94407287795731,5.75843973440829,5.94067447211701,5.754560362481,5.9375773312716,5.75112467058645
