"","date","retweet","favorite","score","type","settle"
"49","01/03/11",0,0,1,"Negative",620.5
"50","01/05/11",0,0,1,"Negative",619.25
"51","01/06/11",0,0,1,"Negative",602
"52","01/07/11",0,0,1,"Negative",595
"53","01/11/11",0,0,1,"Negative",607
"54","01/12/11",0,0,2,"Neutral",631
"55","01/13/11",0,0,2,"Neutral",642.5
"56","01/14/11",1,1,2,"Neutral",648.75
"57","01/19/11",0,0,2,"Neutral",641.25
"58","01/20/11",0,0,1,"Negative",654
"59","01/21/11",0,1,2,"Neutral",657.25
"60","01/24/11",0,0,1,"Negative",655.25
"61","01/25/11",0,0,2,"Neutral",644
"62","01/26/11",0,0,2,"Neutral",657.75
"63","01/27/11",0,0,1,"Negative",650.75
"64","01/28/11",0,0,2,"Neutral",644
"65","01/31/11",0,0,2,"Neutral",659.5
"66","02/01/11",0,0,1,"Negative",666
"67","02/02/11",0,0,1,"Negative",679.75
"68","02/03/11",0,0,2,"Neutral",673.25
"69","02/04/11",0,0,2,"Neutral",689.25
"70","02/07/11",1,0,3,"Positive",685.75
"71","02/08/11",0,1,2,"Neutral",684.75
"72","02/09/11",0,0,1,"Negative",708.75
"73","02/10/11",0,0,1,"Negative",709.5
"74","02/14/11",0,0,2,"Neutral",706.5
"75","02/15/11",0,0,2,"Neutral",701
"76","02/16/11",1,0,2,"Neutral",701
"77","02/17/11",1,0,2,"Neutral",723
"78","02/18/11",0,0,2,"Neutral",720.25
"79","02/22/11",0,0,1,"Negative",690.25
"80","02/23/11",0,0,2,"Neutral",702.25
"81","02/24/11",0,0,2,"Neutral",696.5
"82","02/25/11",1,0,2,"Neutral",722
"83","02/28/11",0,1,1,"Negative",731
"84","03/01/11",0,0,1,"Negative",735.5
"85","03/02/11",0,0,1,"Negative",721.5
"86","03/03/11",0,0,2,"Neutral",736.75
"87","03/04/11",1,0,2,"Neutral",728
"88","03/07/11",0,0,2,"Neutral",717.5
"89","03/08/11",0,1,2,"Neutral",705.5
"90","03/09/11",0,0,1,"Negative",701
"91","03/10/11",0,0,2,"Neutral",682.75
"92","03/11/11",0,0,1,"Negative",664.25
"93","03/14/11",0,0,1,"Negative",666
"94","03/17/11",1,0,2,"Neutral",646.5
"95","03/18/11",0,0,2,"Neutral",683.5
"96","03/21/11",0,0,2,"Neutral",686.5
"97","03/22/11",0,0,2,"Neutral",686.75
"98","03/23/11",0,0,1,"Negative",681
"99","03/24/11",0,0,1,"Negative",702.5
"100","03/25/11",0,0,1,"Negative",689.5
"101","03/28/11",0,0,2,"Neutral",671
"102","03/29/11",1,1,1,"Negative",671.75
"103","03/30/11",1,0,2,"Neutral",663.25
"104","03/31/11",0,0,1,"Negative",693.25
"105","04/01/11",0,0,1,"Negative",736
"106","04/04/11",0,0,3,"Positive",767.5
"107","04/05/11",1,0,2,"Neutral",773.75
"108","04/06/11",0,0,2,"Neutral",770.5
"109","04/07/11",0,0,2,"Neutral",766.25
"110","04/08/11",0,0,2,"Neutral",774
"111","04/11/11",1,0,3,"Positive",781.25
"112","04/12/11",0,0,2,"Neutral",757.5
"113","04/13/11",0,0,2,"Neutral",761
"114","04/14/11",0,0,1,"Negative",761
"115","04/15/11",0,0,2,"Neutral",749.5
"116","04/18/11",0,0,3,"Positive",759.5
"117","04/19/11",0,0,1,"Negative",757
"118","04/20/11",0,0,2,"Neutral",740.5
"119","04/21/11",0,0,2,"Neutral",744.5
"120","04/25/11",0,0,2,"Neutral",768.5
"121","04/26/11",0,1,2,"Neutral",772.75
