date,settle,pre_cur_linear,pre_five_linear,pre_ten_linear,pre_cur_nlinear,pre_five_nl,pre_ten_nlinear
1/3/11,620.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/5/11,619.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/6/11,602,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/7/11,595,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/11/11,607,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/12/11,631,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/13/11,642.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/14/11,648.75,300.1236629,299.5041647,297.5620747,5.801151884,5.799482118,5.794557249
1/19/11,641.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/20/11,654,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/21/11,657.25,333.1296421,332.3234631,330.0646266,5.819540463,5.818389825,5.812333439
1/24/11,655.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/25/11,644,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/26/11,657.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/27/11,650.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/28/11,644,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/31/11,659.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/1/11,666,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/2/11,679.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/3/11,673.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/4/11,689.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/7/11,685.75,410.4461145,408.9026898,406.7067394,6.139057064,6.134049939,6.127588118
2/8/11,684.75,333.1296421,332.3234631,330.0646266,5.819540463,5.818389825,5.812333439
2/9/11,708.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/10/11,709.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/14/11,706.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/15/11,701,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/16/11,701,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
2/17/11,723,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
2/18/11,720.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/22/11,690.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
2/23/11,702.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/24/11,696.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
2/25/11,722,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
2/28/11,731,270.0533607,269.3249947,267.9071331,5.739417497,5.738068494,5.736795748
3/1/11,735.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/2/11,721.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/3/11,736.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/4/11,728,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
3/7/11,717.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/8/11,705.5,333.1296421,332.3234631,330.0646266,5.819540463,5.818389825,5.812333439
3/9/11,701,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/10/11,682.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/11/11,664.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/14/11,666,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/17/11,646.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
3/18/11,683.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/21/11,686.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/22/11,686.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/23/11,681,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/24/11,702.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/25/11,689.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
3/28/11,671,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
3/29/11,671.75,237.1038067,236.5634003,235.4622163,5.695098074,5.693960842,5.693106439
3/30/11,663.25,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
3/31/11,693.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
4/1/11,736,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
4/4/11,767.5,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
4/5/11,773.75,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
4/6/11,770.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/7/11,766.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/8/11,774,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/11/11,781.25,410.4461145,408.9026898,406.7067394,6.139057064,6.134049939,6.127588118
